,419.89,148.02,389.56,164.77,253.2,730.81,99.25,133.68,305.43,514.11,357.21,209.87,37.67,251.81,246.09,126.3,263.11,35.54,46.58,160.63,263.39,237.85,49.52,570.84,18.22,257.63,52.26,274.52,268.75,415.65,483.78,841.9,700.47,203.38,723.44,302.55,491.63,312.59,647.22,688.93,780.45,189.22,1052.05,630.37,93.46,500.97,33,440.43,310.35,491.24,143.66,330.6,235.4,248.16,489.52,284,855.37,365.41,317.18,221.25,308.09,121.42,74.64,65.69,757.18,101.06,238.62,248.54,169.98,418.99,286.28,117.56,169.22,186.73,695.53,273.79,516.33,387.89,804.59,289.16,289.34,197.15,292.89,76.63,102.7,485.14,128.28,302.32,104.71,300.62,395.98,577.69,365.96,433.05,326.48,153.31,387.54,712.02,351.35,206.33,409.86
417.11,,564.76,123.84,537.04,180.49,491.36,510.86,287.41,131.6,223.72,725.67,578.33,449.28,188.61,242.7,543.04,674.72,391.02,458.19,572.24,675,649.46,457.91,241.45,401.39,172.06,378.47,275.49,148.31,327.35,272.72,459.24,317.8,614.99,303.67,151.27,308.17,136.96,558.92,449.48,397.78,457.87,669.39,247.7,505.07,412.67,447.26,488.57,321.84,96.63,277.1,182.77,184.66,659.77,389.4,695.61,472.7,190.95,685.63,205.33,113.53,533.03,486.25,362.58,374.51,319.27,650.23,660.15,257.42,434.96,697.89,306.34,303.31,359.36,462.03,164.83,133.66,164.98,421.93,161.11,132.44,347.71,166.78,489.15,413.28,219.43,313.03,670.78,406.1,216.56,236.53,337.36,242.49,332.93,300.72,564.92,356.3,472.57,85.64,222.8,226.39
149.54,568.08,,507.16,265,401.4,823.6,169.86,281.88,453.63,662.31,450.32,310.1,125.6,400.01,394.28,27.48,353.9,183.74,147.26,251.42,358.06,332.51,110,719.04,169.01,405.83,181.64,367.31,416.94,404.88,631.97,882.11,752.01,294.17,871.64,450.74,584.42,460.79,498.32,781.72,831.99,337.41,1103.6,726.43,184.25,365.73,185.93,296.07,458.55,639.44,291.85,478.79,383.6,342.82,637.72,378.66,906.91,458.2,417.4,369.45,456.28,212.21,165.43,195.23,808.72,249.26,333.29,321.1,318.17,567.19,380.94,265.75,317.42,259.31,788.32,421.98,664.53,536.09,844.8,437.36,437.54,345.34,441.09,176.85,178.57,581.06,276.48,392.98,252.9,448.82,544.17,670.48,514.16,581.25,474.68,247.97,535.74,804.81,499.55,354.52,502.64
386.64,123.84,506.63,,506.57,157.88,423.51,480.39,256.93,109.42,272.46,703.59,556.25,418.8,149.17,226.81,484.91,644.24,360.55,427.72,541.77,644.53,618.98,409.47,329.19,370.92,132.62,347.99,161.21,126.14,205.25,274.88,458.38,316.94,584.52,427.4,129.2,184.33,114.78,436.82,381.62,396.93,435.8,668.53,246.84,474.6,290.58,416.78,366.48,299.77,220.36,246.63,160.7,155.53,629.3,368.82,665.13,471.85,67.11,663.56,174.86,91.36,502.56,455.78,332.11,373.65,288.8,619.76,629.68,226.95,412.89,667.42,275.87,194.37,248.85,388.23,142.76,205.76,146.24,421.07,91.66,110.27,317.24,86.62,458.68,329.57,99.77,235.69,648.7,375.62,194.49,217.79,270.39,221.91,312.35,262.4,534.45,334.23,404.72,38.43,192.32,102.55
163.55,536.45,265.23,506.12,,343.66,879.67,162.7,276.89,398.37,519.95,195.74,48.4,142.9,368.37,275.94,243.51,270.72,195.11,123.55,205.52,177.53,201.58,173.83,576.68,180.29,374.19,211.82,421.08,385.31,562.21,483.69,958.46,817.03,214.29,828.51,375.62,640.5,394.39,793.78,837.79,897.01,158.56,1168.61,746.93,143.64,647.53,149.85,557.64,289.04,539.63,267.86,365.59,351.96,190.89,489.44,230.29,971.93,514.28,155.71,333.25,424.65,166.31,138.09,226.33,873.74,246.72,172.83,265.07,280.88,377.91,212.63,269.35,315.78,347.55,844.4,355.4,632.89,475.29,921.15,405.72,405.9,190.09,409.45,91.08,263.33,601.7,292.23,140.85,158.87,316.81,395.89,726.56,382.98,432.97,326.4,115.66,387.46,860.88,467.91,318.33,558.72
251.56,181.51,399.21,158.1,343.79,,531.66,345.32,121.86,69.45,264.73,545.91,398.57,283.73,36.32,68.15,377.49,509.17,225.47,292.64,406.69,527.7,483.91,292.36,321.46,235.84,26.17,212.92,123.21,25.62,230.18,257.75,610.45,469.01,449.45,485.06,53.16,292.48,63.21,461.75,489.77,548.99,278.11,820.6,398.91,339.52,315.5,281.71,391.4,140.49,241.86,111.55,81.21,19.12,494.22,263.5,530.06,623.91,166.26,505.87,39.78,69.71,367.48,320.7,197.03,525.72,153.72,484.68,494.6,91.87,265.94,532.34,140.8,130.52,204.93,496.38,24.41,284.87,138.51,573.14,57.7,50.96,154.03,61.44,310.67,247.73,253.69,147.48,491.02,227.62,54.91,169.95,378.54,116.58,207.03,122.83,399.37,194.65,512.87,119.89,57.25,210.7
728.26,490.5,822.68,422.64,879.33,530.64,,808.55,618.63,500.36,713.2,1076.35,929.01,758.95,521.92,599.57,800.95,985.87,702.17,769.34,883.39,986.15,960.61,725.52,730.93,712.54,505.38,689.61,455.89,498.98,423.39,693.37,168.41,219.73,926.14,793.15,501.95,240.21,505.72,228.86,43.07,226.82,808.56,505.5,242.96,816.22,372.21,758.41,434.38,672.53,586.1,609.56,533.46,528.29,970.92,741.58,1006.75,308.81,366.37,1036.32,547.61,484.12,844.18,797.4,673.73,249.27,637.88,961.38,959.79,599.71,785.65,1009.04,624.7,562.28,564.89,64.1,515.52,360.06,568.88,131.09,470.91,483.11,690,465.86,807.76,645.62,383.47,603.59,1021.46,724.7,567.25,604.84,152.93,594.67,685.11,635.16,876.07,706.99,23.64,461.06,565.08,323.86
99.54,512.99,170.65,482.66,151.69,346.31,809.45,,226.79,398.54,656.08,308.96,196.79,72.06,344.91,339.19,148.93,246.15,128.65,72.5,110.06,216.7,191.15,85.6,712.81,113.92,350.74,145.37,353.16,361.85,494.29,619.83,867.96,793.57,152.81,816.55,395.65,570.28,405.7,725.86,767.57,873.56,273.57,1145.16,723.47,41.41,579.61,118.02,463.06,425.17,584.35,236.76,423.7,328.51,201.46,625.57,237.3,948.48,444.06,304.09,314.36,401.19,70.85,26.67,158.8,850.28,194.17,191.93,154.98,263.08,514.04,239.58,210.66,262.33,245.17,774.18,366.89,609.44,481,830.65,382.26,382.45,291.17,386,103.32,164.43,566.91,221.39,251.62,189.06,393.73,532.02,656.33,459.07,569.1,462.53,106.61,523.59,790.66,444.46,299.43,488.5
131.43,287.64,279.08,257.31,276.9,120.96,619.26,225.18,,173.19,406.14,469.34,322,163.6,119.56,113.84,257.36,389.04,105.34,172.51,286.56,389.32,363.78,172.23,462.88,115.71,125.39,92.79,162.97,136.5,304.1,369.89,709.66,568.22,329.31,591.2,170.3,380.08,180.35,535.67,577.38,648.21,218.38,919.81,498.12,219.39,389.42,161.58,433.38,175.24,359,10.89,198.35,103.16,374.09,375.63,409.93,723.13,253.86,429.3,89.01,175.84,247.35,200.57,76.9,624.93,33.59,364.55,374.47,37.73,299.1,412.21,15.09,57.67,91.59,583.98,141.54,384.09,255.65,672.35,156.92,157.1,87.57,160.65,203.47,127.6,352.9,27.35,414.45,120.42,168.38,282.09,466.14,233.72,319.16,212.59,279.24,273.65,600.47,219.11,74.08,298.31
303.29,131.29,450.93,109.38,398.47,70.75,501.16,397.04,173.58,,209.28,624.67,477.33,335.45,88.15,122.83,429.21,560.89,277.2,344.37,458.42,606.45,535.63,344.08,266.01,287.57,71.61,264.64,175.03,39.2,232.39,222.55,561.7,420.26,501.17,403.85,26.61,261.99,5.47,463.96,459.28,500.25,356.87,771.85,350.16,391.25,317.72,333.43,393.62,220.84,186.41,163.28,58.11,70.84,545.95,270.62,581.78,575.16,135.77,584.63,91.5,18.46,419.21,372.43,248.76,476.97,205.45,536.41,546.33,143.6,333.94,584.07,192.52,202.85,258.9,465.89,50.66,236.13,83.06,524.39,66.15,36.94,208.7,71.83,365.35,299.46,204.97,199.2,569.78,282.29,97.07,134.02,348.05,123.7,214.14,181.94,451.1,255.28,482.37,71.17,108.97,180.21
